title,play_num,ping_lun,user_name,score
凤凰传奇翻唱《海底》,376.4万,2.1万,鳳迷and花捲,3724045
顶级大厨已疯！川菜大师：这个面真的不辣～,150.6万,1.5万,盗月社食遇记,2698011
【潘嘎之交】2022年春晚小品,292.8万,3701,胡基森,2673079
创4总决赛 利路修《jackpot》杀疯了！你明明有实力，你故意隐瞒！！,350.5万,2.1万,青3创4视频站,2474696
方舟二周年庆典过后的博士现状,95.1万,4183,菜鸡莱特,2204485
疯狂尬黑周柯宇？我从来没见过这么诚恳的道歉！,131.6万,1.4万,三代鹿人,2055578
当妹妹拥有了动漫声线！！！无敌日语版！！！,233.6万,1540,绫人太太啊,2051549
《听潘叔的话》周杰伦直呼内行。。。,181.2万,3178,火树银花的花大侠,2012968
巴黎和会出师不利！外交团肩负重任！9.3高燃民国历史剧《觉醒年代》P6,98.8万,1.4万,木鱼水心,1994938
【8人合唱】光るなら/若能绽放光芒 - 四月是你的谎言OP,55.3万,1612,多多poi丶,1855634
生 儿 为 人 我 很 抱 歉,95.5万,3289,进击的金厂长,1808864
学会了，单身了。呜呜,189.1万,2147,轩仔贼giao,1792576
填坑啦！收网啦！看懂之后我大为震撼！开年口碑最炸《窥探》14-15,90.5万,9272,小片片说大片,1740200
【任贤齐《桃花笑》】开口就是你熟悉的快意江湖！,137.7万,1.2万,梦幻西游电脑版,1737230
我是张全蛋，哔哩哔哩，我来啦！,229.6万,4058,张全蛋,1707964
《原神》EP - 神岩阅世之行,94.1万,2.6万,原神,1700615
梅花十一：我只会心疼哥哥,128.9万,2582,紫光-君,1667062
高高飞起来啊啊啊啊啊啊啊！【汽油桶快乐阴人流#10】,73.3万,5210,鲁大能,1646615
《我只会心疼哥哥》辛潘嘎之交版,135.8万,5462,胖家军-陈胖胖,1610974
《明日方舟》EP - Feels by Low Roar,55.5万,1527,明日方舟,1552144
觉醒年代就是他们最早醒来，然后最先死去,69.3万,1446,Double邓,1533183
匪 帮 哥 哥,123.8万,805,黄头小野猪,1473827
厨师长拜师民间手艺人，学习地道“台儿庄辣子鸡”,87.6万,8943,美食作家王刚R,1430830
【罗翔】三天时间你把刑修十一新罪都犯了一遍？你就是张三本三？读评论#7,105.7万,4389,罗翔说刑法,1420661
好吃又简单的汤面合集，学会就不用吃泡面啦,62.1万,229,孙大爷的小吃部,1391113
腾格尔 X 达拉崩吧？！我的DNA动了！,158.8万,2.6万,坎公骑冠剑,1377921
【推理信条】 第一章：忠武疑云,55.8万,2万,哔哩哔哩直播,1351580
雷品吐槽！全网营销？这么难用凭什么火爆全网？不服！,59.9万,6957,达达达布溜-,1341135
